gender,age,income,year_joined,received-to-viewed-ratio,received-to-completed-ratio,average_transaction_value,number_of_transactions,predicted_cluster
M,27.0,35000.0,2018,80.0,20.0,2.4633333333333334,12.0,6
M,40.0,53000.0,2018,75.0,0.0,1.634,5.0,6
F,73.0,91000.0,2018,100.0,60.0,27.290000000000003,4.0,3
F,74.0,107000.0,2015,80.0,80.0,29.830000000000002,10.0,0
M,42.0,66000.0,2015,66.66666666666666,66.66666666666666,19.562857142857144,7.0,0
M,78.0,58000.0,2015,100.0,50.0,12.693999999999999,10.0,0
F,54.0,53000.0,2016,83.33333333333334,33.33333333333333,3.1683333333333334,18.0,1
F,49.0,57000.0,2017,100.0,60.0,18.478,10.0,4
M,64.0,70000.0,2017,100.0,100.0,15.593333333333334,9.0,0
F,89.0,87000.0,2017,75.0,100.0,27.62555555555555,9.0,0
M,73.0,51000.0,2018,80.0,20.0,2.6033333333333335,9.0,3
F,50.0,93000.0,2017,100.0,80.0,24.77416666666667,12.0,0
F,90.0,98000.0,2015,25.0,25.0,26.676666666666666,3.0,2
F,68.0,84000.0,2016,0.0,20.0,17.02,2.0,2
M,60.0,64000.0,2017,66.66666666666666,33.33333333333333,3.678333333333333,12.0,6
M,45.0,54000.0,2017,60.0,0.0,1.9183333333333332,6.0,6
M,66.0,49000.0,2016,83.33333333333334,83.33333333333334,11.162777777777778,18.0,4
F,19.0,73000.0,2016,60.0,60.0,18.431818181818183,11.0,4
F,66.0,58000.0,2018,80.0,60.0,16.353,10.0,3
F,72.0,72000.0,2016,83.33333333333334,100.0,16.826666666666668,12.0,0
M,76.0,63000.0,2016,100.0,80.0,17.28923076923077,13.0,0
M,52.0,78000.0,2017,60.0,100.0,19.653333333333332,6.0,2
M,55.0,31000.0,2017,50.0,25.0,6.145999999999999,5.0,6
F,39.0,60000.0,2017,100.0,75.0,58.791666666666664,12.0,0
F,45.0,44000.0,2016,33.33333333333333,83.33333333333334,10.231874999999999,16.0,4
F,57.0,114000.0,2017,83.33333333333334,83.33333333333334,23.1025,8.0,2
M,74.0,48000.0,2018,33.33333333333333,0.0,2.2866666666666666,3.0,6
M,18.0,47000.0,2016,66.66666666666666,83.33333333333334,12.527727272727274,22.0,4
M,53.0,96000.0,2017,100.0,80.0,27.768,5.0,0
F,59.0,98000.0,2017,33.33333333333333,100.0,28.01,4.0,2
M,57.0,46000.0,2014,75.0,25.0,3.4219999999999997,10.0,1
F,51.0,56000.0,2017,80.0,40.0,5.848571428571428,7.0,3
F,64.0,37000.0,2017,100.0,60.0,7.33857142857143,7.0,3
M,71.0,57000.0,2017,75.0,0.0,2.5116666666666667,12.0,6
F,64.0,66000.0,2017,100.0,50.0,12.587499999999999,4.0,3
M,83.0,46000.0,2018,100.0,0.0,3.354,5.0,3
M,26.0,71000.0,2017,60.0,0.0,3.4499999999999997,4.0,6
F,29.0,58000.0,2018,100.0,20.0,2.5399999999999996,12.0,4
M,43.0,70000.0,2017,75.0,0.0,2.03,1.0,6
F,89.0,65000.0,2018,100.0,75.0,17.83142857142857,7.0,3
F,49.0,79000.0,2018,100.0,40.0,12.465,2.0,3
M,79.0,67000.0,2016,75.0,75.0,17.61277777777778,18.0,0
F,55.0,94000.0,2017,100.0,60.0,24.418750000000003,8.0,0
M,55.0,66000.0,2017,60.0,40.0,14.327894736842106,19.0,4
M,45.0,31000.0,2017,75.0,0.0,3.2919999999999994,5.0,6
M,52.0,30000.0,2018,50.0,0.0,1.9600000000000002,5.0,6
M,39.0,55000.0,2016,75.0,100.0,17.39333333333333,9.0,4
M,77.0,69000.0,2018,50.0,25.0,20.083333333333332,3.0,3
M,66.0,60000.0,2018,60.0,40.0,5.1499999999999995,6.0,6
F,69.0,87000.0,2017,100.0,50.0,26.605,2.0,3
M,74.0,53000.0,2014,100.0,50.0,13.7825,4.0,0
F,75.0,87000.0,2018,100.0,80.0,22.940000000000005,5.0,0
F,59.0,85000.0,2015,83.33333333333334,66.66666666666666,27.58571428571429,7.0,0
M,47.0,66000.0,2013,100.0,66.66666666666666,14.834,5.0,1
M,20.0,69000.0,2018,50.0,0.0,0.87,1.0,6
M,60.0,108000.0,2017,100.0,50.0,31.82,4.0,0
M,65.0,61000.0,2018,40.0,60.0,4.0,6.0,6
M,33.0,43000.0,2015,25.0,25.0,2.4725,8.0,6
F,39.0,67000.0,2017,100.0,20.0,51.16090909090908,11.0,3
M,49.0,59000.0,2018,66.66666666666666,33.33333333333333,6.376666666666668,6.0,6
M,68.0,58000.0,2018,100.0,0.0,8.595,2.0,3
M,42.0,80000.0,2017,100.0,33.33333333333333,17.913333333333338,3.0,3
M,72.0,33000.0,2018,50.0,0.0,1.6280000000000001,5.0,6
F,18.0,49000.0,2017,60.0,40.0,3.0469999999999997,10.0,4
F,32.0,42000.0,2018,50.0,100.0,10.17,7.0,4
M,67.0,50000.0,2017,100.0,20.0,11.023333333333333,3.0,3
M,52.0,42000.0,2018,40.0,0.0,1.8,3.0,6
M,38.0,64000.0,2017,66.66666666666666,100.0,16.77111111111111,9.0,4
F,60.0,77000.0,2018,83.33333333333334,83.33333333333334,21.381999999999998,5.0,0
F,62.0,77000.0,2017,60.0,40.0,16.73,2.0,2
F,55.0,51000.0,2018,100.0,25.0,12.95,2.0,3
M,22.0,63000.0,2018,100.0,0.0,3.2999999999999994,6.0,6
M,34.0,41000.0,2017,50.0,75.0,10.764545454545454,11.0,4
M,46.0,60000.0,2014,80.0,60.0,4.06076923076923,26.0,1
M,85.0,67000.0,2018,66.66666666666666,33.33333333333333,4.436,5.0,3
F,51.0,85000.0,2017,60.0,60.0,22.5,8.0,2
F,53.0,85000.0,2016,80.0,80.0,22.13625,8.0,0
M,51.0,92000.0,2016,100.0,100.0,22.061333333333337,15.0,0
M,48.0,44000.0,2015,80.0,40.0,3.232222222222222,18.0,1
M,52.0,72000.0,2018,100.0,50.0,22.016666666666666,3.0,3
M,62.0,53000.0,2016,75.0,75.0,12.556000000000001,10.0,4
M,42.0,62000.0,2018,20.0,0.0,3.0300000000000002,4.0,6
M,55.0,65000.0,2017,100.0,0.0,2.384285714285714,7.0,3
F,27.0,50000.0,2015,100.0,50.0,11.222500000000002,8.0,4
M,68.0,107000.0,2018,40.0,40.0,31.715000000000003,8.0,2
F,74.0,83000.0,2017,50.0,50.0,25.69,1.0,2
M,77.0,66000.0,2014,50.0,83.33333333333334,3.351153846153846,26.0,1
M,35.0,72000.0,2018,60.0,100.0,18.682857142857138,14.0,4
F,50.0,69000.0,2017,100.0,60.0,18.496000000000002,10.0,0
M,45.0,94000.0,2015,80.0,60.0,27.15166666666666,6.0,0
M,82.0,87000.0,2016,100.0,0.0,19.455,8.0,3
M,40.0,57000.0,2013,100.0,25.0,19.987499999999997,4.0,1
M,66.0,34000.0,2018,66.66666666666666,0.0,2.65,4.0,6
M,52.0,63000.0,2018,66.66666666666666,0.0,3.09,2.0,6
F,57.0,89000.0,2016,60.0,80.0,25.186666666666667,9.0,2
M,68.0,69000.0,2016,75.0,75.0,15.892222222222225,9.0,0
M,21.0,52000.0,2018,75.0,50.0,2.7960000000000003,5.0,6
M,61.0,44000.0,2017,50.0,33.33333333333333,2.2125,8.0,6
F,58.0,54000.0,2018,40.0,0.0,3.5833333333333335,6.0,6
F,67.0,54000.0,2018,75.0,0.0,2.4828571428571427,7.0,3
M,24.0,61000.0,2017,40.0,40.0,15.541999999999998,10.0,6
M,26.0,35000.0,2017,60.0,0.0,2.5249999999999995,4.0,6
F,71.0,105000.0,2017,75.0,100.0,23.585555555555555,9.0,2
F,69.0,64000.0,2017,80.0,80.0,16.276666666666667,9.0,0
M,62.0,73000.0,2016,100.0,60.0,21.10818181818182,11.0,0
M,38.0,74000.0,2017,100.0,100.0,99.59625,8.0,5
M,61.0,82000.0,2017,33.33333333333333,33.33333333333333,20.883333333333336,3.0,2
F,52.0,92000.0,2017,100.0,75.0,23.59,1.0,0
M,50.0,70000.0,2017,100.0,75.0,21.867,10.0,0
M,54.0,118000.0,2017,100.0,60.0,26.515714285714285,7.0,0
F,75.0,109000.0,2018,100.0,100.0,18.52,2.0,2
M,82.0,73000.0,2018,50.0,16.666666666666664,4.5375000000000005,8.0,6
M,64.0,38000.0,2018,50.0,0.0,2.1079999999999997,5.0,6
F,54.0,99000.0,2015,83.33333333333334,50.0,23.311428571428568,7.0,0
M,82.0,72000.0,2018,50.0,50.0,5.476666666666667,3.0,2
M,90.0,45000.0,2018,50.0,25.0,2.1519999999999997,5.0,6
F,34.0,67000.0,2018,60.0,0.0,2.722857142857143,7.0,6
M,44.0,53000.0,2018,100.0,33.33333333333333,11.553333333333333,6.0,3
F,58.0,95000.0,2016,40.0,60.0,29.184545454545457,11.0,2
F,47.0,74000.0,2016,66.66666666666666,66.66666666666666,18.192142857142855,14.0,4
F,60.0,59000.0,2017,50.0,16.666666666666664,3.5142857142857147,7.0,6
M,83.0,54000.0,2017,75.0,50.0,12.676153846153845,13.0,0
M,89.0,101000.0,2015,75.0,25.0,32.104,5.0,2
M,68.0,62000.0,2016,100.0,100.0,15.81111111111111,9.0,0
F,63.0,110000.0,2017,40.0,60.0,20.534,5.0,2
F,40.0,51000.0,2018,100.0,0.0,14.440000000000001,5.0,3
F,79.0,99000.0,2017,75.0,25.0,23.12142857142857,7.0,2
M,71.0,30000.0,2018,33.33333333333333,0.0,2.498,5.0,6
F,76.0,114000.0,2015,66.66666666666666,83.33333333333334,26.16857142857143,7.0,2
M,89.0,96000.0,2016,100.0,80.0,23.421666666666667,6.0,0
M,63.0,36000.0,2017,66.66666666666666,16.666666666666664,2.0266666666666664,6.0,6
F,71.0,56000.0,2018,83.33333333333334,100.0,16.416,10.0,0
M,44.0,36000.0,2017,50.0,16.666666666666664,3.5933333333333337,6.0,6
M,25.0,73000.0,2016,100.0,100.0,6.986999999999999,10.0,4
M,27.0,70000.0,2018,50.0,0.0,2.6580000000000004,5.0,6
M,67.0,106000.0,2018,80.0,20.0,28.645,6.0,2
F,77.0,80000.0,2016,100.0,83.33333333333334,22.236,10.0,0
F,68.0,66000.0,2015,100.0,100.0,14.528000000000002,10.0,0
M,37.0,64000.0,2016,80.0,60.0,16.335625,16.0,4
M,55.0,60000.0,2016,25.0,0.0,2.5549999999999997,6.0,6
M,30.0,54000.0,2016,100.0,83.33333333333334,35.0235,20.0,4
M,51.0,54000.0,2015,83.33333333333334,66.66666666666666,13.275263157894734,19.0,1
F,47.0,92000.0,2018,100.0,25.0,33.075,2.0,3
M,49.0,48000.0,2018,80.0,20.0,2.4050000000000002,8.0,6
M,32.0,38000.0,2015,83.33333333333334,66.66666666666666,9.575,18.0,1
M,30.0,69000.0,2017,50.0,75.0,20.97375,8.0,4
M,47.0,86000.0,2017,100.0,75.0,21.959090909090907,11.0,0
M,34.0,34000.0,2017,100.0,75.0,7.402500000000001,12.0,4
F,78.0,101000.0,2017,33.33333333333333,100.0,37.458,5.0,2
F,85.0,71000.0,2016,50.0,33.33333333333333,18.278,15.0,2
F,75.0,69000.0,2013,100.0,66.66666666666666,15.232500000000002,8.0,0
F,76.0,71000.0,2017,80.0,100.0,17.152857142857144,14.0,0
F,89.0,59000.0,2015,100.0,66.66666666666666,14.129999999999999,4.0,0
M,58.0,70000.0,2018,83.33333333333334,33.33333333333333,5.068333333333333,6.0,3
M,23.0,49000.0,2017,100.0,60.0,3.4072727272727277,22.0,4
M,58.0,53000.0,2017,100.0,60.0,12.265,10.0,4
F,64.0,95000.0,2015,60.0,80.0,25.71142857142857,7.0,2
M,72.0,39000.0,2017,80.0,80.0,9.614,10.0,4
F,66.0,72000.0,2017,100.0,100.0,18.974999999999998,6.0,0
F,49.0,68000.0,2017,33.33333333333333,0.0,2.4149999999999996,6.0,6
M,43.0,71000.0,2017,100.0,100.0,20.45,10.0,0
M,58.0,39000.0,2018,40.0,0.0,1.008,5.0,6
M,43.0,76000.0,2017,100.0,60.0,17.462222222222223,9.0,0
F,56.0,87000.0,2017,50.0,75.0,20.314545454545456,11.0,2
F,69.0,118000.0,2017,50.0,25.0,27.05,2.0,2
O,60.0,94000.0,2018,100.0,80.0,142.95833333333334,6.0,5
M,81.0,70000.0,2016,75.0,75.0,17.104444444444443,9.0,0
M,42.0,91000.0,2017,80.0,60.0,23.33,6.0,0
M,75.0,71000.0,2015,100.0,0.0,2.974117647058823,17.0,1
M,62.0,73000.0,2018,66.66666666666666,16.666666666666664,3.89,7.0,3
F,55.0,54000.0,2016,100.0,100.0,15.747857142857143,14.0,4
M,65.0,39000.0,2017,66.66666666666666,66.66666666666666,10.302499999999998,8.0,4
M,52.0,46000.0,2017,33.33333333333333,33.33333333333333,14.163999999999998,10.0,6
F,30.0,40000.0,2017,100.0,60.0,13.848749999999999,8.0,4
F,74.0,75000.0,2015,50.0,50.0,19.894000000000002,5.0,2
F,100.0,63000.0,2015,100.0,50.0,15.544285714285715,14.0,0
F,26.0,40000.0,2017,40.0,100.0,43.60857142857144,14.0,4
F,56.0,53000.0,2016,100.0,66.66666666666666,11.958571428571428,7.0,0
M,50.0,90000.0,2014,83.33333333333334,50.0,33.193333333333335,3.0,0
M,73.0,95000.0,2017,40.0,40.0,23.813333333333333,3.0,2
F,49.0,74000.0,2017,50.0,50.0,25.1575,4.0,2
M,37.0,50000.0,2016,100.0,60.0,12.562000000000001,10.0,4
M,65.0,57000.0,2016,100.0,60.0,14.000454545454545,22.0,4
F,64.0,81000.0,2016,100.0,80.0,21.08777777777778,9.0,0
F,48.0,53000.0,2016,75.0,75.0,13.9975,4.0,0
M,20.0,32000.0,2015,60.0,60.0,7.808333333333333,12.0,1
M,46.0,40000.0,2018,100.0,66.66666666666666,11.573636363636364,11.0,4
M,24.0,69000.0,2015,50.0,50.0,4.808571428571429,14.0,1
M,71.0,95000.0,2015,100.0,50.0,23.797142857142855,14.0,0
M,37.0,92000.0,2017,66.66666666666666,66.66666666666666,23.94875,8.0,2
F,57.0,81000.0,2016,66.66666666666666,83.33333333333334,18.448571428571427,7.0,2
M,52.0,85000.0,2014,75.0,75.0,20.392857142857142,7.0,0
M,41.0,41000.0,2016,50.0,0.0,2.7887500000000003,8.0,6
F,66.0,74000.0,2017,66.66666666666666,100.0,17.916666666666668,6.0,2
F,66.0,87000.0,2015,100.0,60.0,21.725,8.0,0
F,68.0,120000.0,2017,66.66666666666666,66.66666666666666,27.42,6.0,2
M,20.0,70000.0,2016,66.66666666666666,0.0,2.1988888888888884,9.0,6
M,43.0,42000.0,2017,40.0,20.0,4.045625,16.0,6
M,73.0,38000.0,2017,80.0,80.0,8.7325,12.0,4
F,42.0,56000.0,2017,100.0,75.0,14.662,10.0,4
M,82.0,110000.0,2016,100.0,33.33333333333333,24.716666666666665,9.0,0
F,70.0,92000.0,2017,25.0,50.0,27.115999999999996,5.0,2
F,42.0,71000.0,2017,100.0,66.66666666666666,16.6675,4.0,3
M,48.0,62000.0,2015,100.0,33.33333333333333,15.7025,8.0,1
F,53.0,93000.0,2015,100.0,100.0,22.235000000000003,10.0,0
M,79.0,90000.0,2018,100.0,66.66666666666666,14.608333333333334,6.0,3
M,51.0,55000.0,2016,66.66666666666666,0.0,2.3761538461538465,13.0,1
F,48.0,105000.0,2016,33.33333333333333,66.66666666666666,24.1125,4.0,2
F,54.0,119000.0,2015,60.0,40.0,22.645000000000003,8.0,2
M,52.0,48000.0,2018,50.0,16.666666666666664,3.488888888888889,9.0,6
M,28.0,68000.0,2013,66.66666666666666,16.666666666666664,12.272142857142855,14.0,1
M,69.0,47000.0,2014,83.33333333333334,16.666666666666664,3.157777777777778,18.0,1
M,73.0,92000.0,2017,83.33333333333334,83.33333333333334,24.886666666666667,12.0,0
F,67.0,71000.0,2017,50.0,50.0,17.576,5.0,2
F,76.0,34000.0,2018,33.33333333333333,16.666666666666664,11.775714285714285,7.0,6
F,55.0,53000.0,2015,60.0,60.0,12.77090909090909,11.0,1
F,89.0,83000.0,2018,100.0,50.0,25.445,2.0,3
M,57.0,41000.0,2018,100.0,100.0,4.272,5.0,3
F,54.0,70000.0,2018,33.33333333333333,16.666666666666664,9.77,1.0,6
M,58.0,73000.0,2017,60.0,0.0,3.908333333333333,6.0,6
M,49.0,39000.0,2017,80.0,0.0,2.545,2.0,6
F,73.0,79000.0,2018,60.0,20.0,18.633333333333333,3.0,3
F,58.0,76000.0,2017,50.0,66.66666666666666,20.39125,8.0,2
M,51.0,70000.0,2017,80.0,0.0,4.594,5.0,3
M,74.0,78000.0,2016,50.0,75.0,24.187142857142856,7.0,2
M,53.0,95000.0,2015,60.0,80.0,22.233333333333334,6.0,2
M,61.0,32000.0,2018,75.0,75.0,9.727500000000001,4.0,3
F,64.0,95000.0,2017,75.0,50.0,24.27333333333333,9.0,2
M,42.0,75000.0,2017,100.0,40.0,24.80666666666667,6.0,3
M,50.0,57000.0,2016,80.0,60.0,14.50523809523809,21.0,4
M,60.0,56000.0,2017,100.0,0.0,3.252,10.0,3
F,57.0,83000.0,2016,100.0,80.0,23.735454545454544,11.0,0
F,39.0,54000.0,2017,100.0,60.0,12.564705882352943,17.0,4
F,57.0,67000.0,2016,66.66666666666666,100.0,18.947499999999998,20.0,4
M,57.0,71000.0,2017,80.0,60.0,17.71666666666667,6.0,3
M,68.0,51000.0,2016,50.0,50.0,4.031874999999999,16.0,1
F,83.0,114000.0,2015,100.0,100.0,28.36714285714286,7.0,0
F,35.0,72000.0,2018,80.0,60.0,17.328333333333333,6.0,3
F,90.0,72000.0,2018,100.0,33.33333333333333,15.97,3.0,3
M,56.0,72000.0,2018,60.0,20.0,4.1325,4.0,6
M,84.0,81000.0,2017,100.0,0.0,16.965,2.0,3
M,62.0,39000.0,2018,66.66666666666666,16.666666666666664,3.1525000000000003,8.0,6
M,63.0,58000.0,2017,100.0,100.0,16.122500000000002,12.0,0
M,67.0,56000.0,2016,100.0,60.0,15.658333333333331,6.0,0
F,68.0,50000.0,2017,100.0,80.0,14.895714285714282,7.0,0
M,55.0,73000.0,2017,50.0,75.0,12.586666666666668,6.0,2
F,24.0,59000.0,2017,66.66666666666666,100.0,40.673333333333325,15.0,4
M,40.0,39000.0,2017,60.0,60.0,3.3280000000000003,10.0,4
M,83.0,61000.0,2018,83.33333333333334,16.666666666666664,4.713125,16.0,3
F,63.0,41000.0,2017,80.0,40.0,2.9435,20.0,4
F,59.0,59000.0,2018,80.0,80.0,14.775714285714285,14.0,4
O,49.0,42000.0,2017,75.0,100.0,9.966666666666667,12.0,4
F,61.0,99000.0,2016,100.0,50.0,26.046666666666667,6.0,0
M,42.0,57000.0,2018,75.0,25.0,13.35,3.0,6
M,58.0,36000.0,2018,75.0,50.0,4.095,6.0,6
F,48.0,44000.0,2016,50.0,50.0,9.418000000000001,10.0,4
M,35.0,64000.0,2017,50.0,25.0,2.4766666666666666,6.0,6
M,36.0,31000.0,2018,80.0,20.0,4.1850000000000005,8.0,6
F,41.0,100000.0,2016,100.0,100.0,25.529999999999998,4.0,0
F,83.0,73000.0,2017,100.0,100.0,20.562500000000004,12.0,0
M,53.0,87000.0,2017,75.0,75.0,32.08,3.0,2
F,53.0,97000.0,2016,40.0,100.0,24.428750000000004,8.0,2
F,80.0,48000.0,2018,100.0,66.66666666666666,53.94499999999999,8.0,0
M,25.0,66000.0,2015,80.0,20.0,2.728,10.0,1
M,63.0,119000.0,2015,60.0,60.0,31.6475,4.0,2
F,63.0,66000.0,2016,66.66666666666666,33.33333333333333,14.969090909090909,11.0,0
F,56.0,109000.0,2018,60.0,80.0,26.701999999999998,15.0,2
M,43.0,59000.0,2017,50.0,16.666666666666664,2.3875,4.0,6
F,58.0,58000.0,2016,33.33333333333333,33.33333333333333,5.148333333333333,12.0,1
M,59.0,59000.0,2017,100.0,100.0,13.987857142857141,14.0,4
M,49.0,104000.0,2018,20.0,20.0,26.513333333333335,3.0,2
F,63.0,70000.0,2017,66.66666666666666,0.0,3.144285714285714,7.0,3
M,42.0,94000.0,2015,80.0,60.0,27.496250000000003,8.0,0
F,52.0,57000.0,2018,60.0,20.0,2.4221428571428567,14.0,6
F,57.0,37000.0,2018,100.0,66.66666666666666,28.172727272727272,11.0,4
F,56.0,59000.0,2017,66.66666666666666,66.66666666666666,16.305,4.0,3
M,80.0,87000.0,2017,80.0,20.0,20.85,4.0,3
M,43.0,52000.0,2016,100.0,50.0,15.72181818181818,11.0,4
M,54.0,70000.0,2017,75.0,0.0,7.095000000000001,2.0,3
M,28.0,73000.0,2016,60.0,80.0,4.564642857142857,28.0,4
F,57.0,95000.0,2017,60.0,80.0,26.915,8.0,2
M,71.0,67000.0,2015,80.0,0.0,3.2045454545454546,11.0,1
F,64.0,112000.0,2018,50.0,50.0,26.1575,4.0,2
M,20.0,49000.0,2014,33.33333333333333,0.0,2.166,5.0,1
F,36.0,58000.0,2017,100.0,40.0,9.703333333333333,9.0,4
F,45.0,99000.0,2016,100.0,50.0,25.582857142857144,7.0,0
M,71.0,65000.0,2014,100.0,0.0,14.277000000000001,10.0,1
M,67.0,89000.0,2018,100.0,40.0,22.2025,4.0,3
F,72.0,81000.0,2016,60.0,60.0,19.433333333333334,6.0,2
M,51.0,100000.0,2018,100.0,66.66666666666666,26.013333333333332,6.0,3
M,48.0,68000.0,2017,100.0,66.66666666666666,19.822000000000003,5.0,3
M,53.0,60000.0,2018,75.0,25.0,3.9111111111111114,9.0,6
M,25.0,53000.0,2018,100.0,0.0,1.8940000000000001,5.0,6
F,79.0,85000.0,2018,83.33333333333334,83.33333333333334,19.599999999999998,14.0,0
M,19.0,32000.0,2018,83.33333333333334,0.0,2.4633333333333334,6.0,6
F,28.0,49000.0,2018,50.0,16.666666666666664,2.966666666666667,3.0,6
M,56.0,76000.0,2014,100.0,100.0,23.612500000000004,8.0,0
M,44.0,37000.0,2014,50.0,0.0,3.004285714285714,7.0,1
M,25.0,40000.0,2017,75.0,50.0,2.1936842105263157,19.0,4
F,61.0,78000.0,2018,50.0,25.0,17.8225,8.0,2
M,34.0,59000.0,2017,50.0,0.0,3.0150000000000006,6.0,6
F,41.0,37000.0,2017,100.0,66.66666666666666,12.141818181818179,11.0,4
M,44.0,51000.0,2016,33.33333333333333,33.33333333333333,3.0676923076923077,13.0,1
F,51.0,92000.0,2018,66.66666666666666,33.33333333333333,25.746666666666666,3.0,2
M,47.0,44000.0,2017,75.0,0.0,1.5133333333333334,3.0,6
F,63.0,70000.0,2018,40.0,40.0,18.94333333333333,3.0,2
M,62.0,61000.0,2017,100.0,0.0,15.629999999999999,4.0,3
M,66.0,71000.0,2018,100.0,50.0,4.524285714285714,7.0,3
M,62.0,70000.0,2017,100.0,75.0,15.099999999999998,7.0,0
M,83.0,88000.0,2016,83.33333333333334,50.0,21.43923076923077,13.0,0
M,43.0,58000.0,2018,60.0,20.0,9.485,2.0,6
F,66.0,94000.0,2016,33.33333333333333,33.33333333333333,24.11,2.0,2
M,70.0,44000.0,2017,100.0,0.0,1.8014285714285714,7.0,3
F,65.0,66000.0,2018,100.0,33.33333333333333,14.595,4.0,3
