,gender,age,income,year_joined
124,M,71.0,57000.0,2017
125,F,64.0,66000.0,2017
126,M,83.0,46000.0,2018
127,M,26.0,71000.0,2017
129,F,29.0,58000.0,2018
130,M,43.0,70000.0,2017
131,F,89.0,65000.0,2018
132,F,49.0,79000.0,2018
133,M,79.0,67000.0,2016
134,F,55.0,94000.0,2017
135,M,55.0,66000.0,2017
136,M,45.0,31000.0,2017
137,M,52.0,30000.0,2018
138,M,39.0,55000.0,2016
139,M,77.0,69000.0,2018
140,M,66.0,60000.0,2018
141,F,69.0,87000.0,2017
142,M,74.0,53000.0,2014
144,F,75.0,87000.0,2018
145,F,59.0,85000.0,2015
146,M,47.0,66000.0,2013
147,M,20.0,69000.0,2018
148,M,60.0,108000.0,2017
149,M,65.0,61000.0,2018
150,M,33.0,43000.0,2015
151,F,39.0,67000.0,2017
152,M,49.0,59000.0,2018
153,M,68.0,58000.0,2018
154,M,42.0,80000.0,2017
155,M,72.0,33000.0,2018
156,F,18.0,49000.0,2017
157,F,32.0,42000.0,2018
158,M,67.0,50000.0,2017
159,M,52.0,42000.0,2018
160,M,38.0,64000.0,2017
161,F,60.0,77000.0,2018
162,F,62.0,77000.0,2017
163,F,55.0,51000.0,2018
164,M,22.0,63000.0,2018
165,M,34.0,41000.0,2017
166,M,46.0,60000.0,2014
167,M,85.0,67000.0,2018
168,F,51.0,85000.0,2017
170,F,53.0,85000.0,2016
171,M,51.0,92000.0,2016
173,M,48.0,44000.0,2015
174,M,52.0,72000.0,2018
176,M,62.0,53000.0,2016
177,M,42.0,62000.0,2018
178,M,55.0,65000.0,2017
179,F,27.0,50000.0,2015
180,M,68.0,107000.0,2018
181,F,74.0,83000.0,2017
182,M,77.0,66000.0,2014
183,M,35.0,72000.0,2018
184,F,50.0,69000.0,2017
185,M,45.0,94000.0,2015
186,M,82.0,87000.0,2016
187,M,40.0,57000.0,2013
188,M,66.0,34000.0,2018
189,M,52.0,63000.0,2018
190,F,57.0,89000.0,2016
191,M,68.0,69000.0,2016
192,M,21.0,52000.0,2018
193,M,61.0,44000.0,2017
195,F,58.0,54000.0,2018
196,F,67.0,54000.0,2018
197,M,24.0,61000.0,2017
199,M,26.0,35000.0,2017
200,F,71.0,105000.0,2017
201,F,69.0,64000.0,2017
202,M,81.0,93000.0,2018
203,M,62.0,73000.0,2016
204,M,38.0,74000.0,2017
205,M,61.0,82000.0,2017
206,F,52.0,92000.0,2017
207,M,50.0,70000.0,2017
208,M,54.0,118000.0,2017
209,F,75.0,109000.0,2018
210,M,82.0,73000.0,2018
211,M,64.0,38000.0,2018
212,F,54.0,99000.0,2015
214,M,82.0,72000.0,2018
216,M,90.0,45000.0,2018
217,F,34.0,67000.0,2018
218,M,44.0,53000.0,2018
219,F,79.0,106000.0,2018
220,F,58.0,95000.0,2016
222,F,47.0,74000.0,2016
223,F,60.0,59000.0,2017
224,M,83.0,54000.0,2017
225,F,74.0,103000.0,2018
226,M,89.0,101000.0,2015
227,M,68.0,62000.0,2016
228,F,63.0,110000.0,2017
229,F,40.0,51000.0,2018
230,F,79.0,99000.0,2017
231,M,71.0,30000.0,2018
232,F,76.0,114000.0,2015
233,M,89.0,96000.0,2016
234,M,63.0,36000.0,2017
236,M,41.0,83000.0,2017
237,F,71.0,56000.0,2018
238,M,44.0,36000.0,2017
239,M,25.0,73000.0,2016
240,M,27.0,70000.0,2018
241,M,67.0,106000.0,2018
242,F,77.0,80000.0,2016
243,F,68.0,66000.0,2015
244,M,37.0,64000.0,2016
245,M,55.0,60000.0,2016
246,M,30.0,54000.0,2016
247,M,51.0,54000.0,2015
248,F,47.0,92000.0,2018
249,M,49.0,48000.0,2018
250,M,32.0,38000.0,2015
251,M,30.0,69000.0,2017
252,M,47.0,86000.0,2017
254,M,34.0,34000.0,2017
255,F,78.0,101000.0,2017
256,F,85.0,71000.0,2016
257,F,75.0,69000.0,2013
258,F,76.0,71000.0,2017
259,F,89.0,59000.0,2015
260,M,58.0,70000.0,2018
261,M,23.0,49000.0,2017
262,M,58.0,53000.0,2017
264,F,64.0,95000.0,2015
265,M,72.0,39000.0,2017
266,F,66.0,72000.0,2017
267,F,49.0,68000.0,2017
268,M,43.0,71000.0,2017
269,M,58.0,39000.0,2018
270,M,43.0,76000.0,2017
271,F,56.0,87000.0,2017
272,F,69.0,118000.0,2017
273,O,60.0,94000.0,2018
274,M,81.0,70000.0,2016
275,M,42.0,91000.0,2017
276,M,75.0,71000.0,2015
277,M,62.0,73000.0,2018
278,F,55.0,54000.0,2016
279,M,65.0,39000.0,2017
280,M,52.0,46000.0,2017
281,F,30.0,40000.0,2017
282,F,74.0,75000.0,2015
283,F,100.0,63000.0,2015
284,F,26.0,40000.0,2017
285,F,56.0,53000.0,2016
286,M,50.0,90000.0,2014
287,M,73.0,95000.0,2017
288,F,49.0,74000.0,2017
289,M,37.0,50000.0,2016
290,M,65.0,57000.0,2016
291,F,64.0,81000.0,2016
292,F,48.0,53000.0,2016
293,M,20.0,32000.0,2015
295,M,46.0,40000.0,2018
296,M,24.0,69000.0,2015
297,M,71.0,95000.0,2015
298,F,50.0,78000.0,2018
299,M,37.0,92000.0,2017
300,F,57.0,81000.0,2016
302,M,52.0,85000.0,2014
303,M,41.0,41000.0,2016
304,F,66.0,74000.0,2017
305,F,66.0,87000.0,2015
306,F,68.0,120000.0,2017
307,M,20.0,70000.0,2016
308,M,43.0,42000.0,2017
309,M,73.0,38000.0,2017
311,F,42.0,56000.0,2017
312,M,82.0,110000.0,2016
314,F,70.0,92000.0,2017
315,F,42.0,71000.0,2017
316,M,48.0,62000.0,2015
317,F,53.0,93000.0,2015
318,M,64.0,67000.0,2018
319,M,79.0,90000.0,2018
320,M,51.0,55000.0,2016
321,F,45.0,88000.0,2018
322,F,48.0,105000.0,2016
324,F,54.0,119000.0,2015
325,M,52.0,48000.0,2018
326,M,28.0,68000.0,2013
327,M,69.0,47000.0,2014
328,M,73.0,92000.0,2017
330,F,67.0,71000.0,2017
331,F,76.0,34000.0,2018
332,F,55.0,53000.0,2015
333,F,89.0,83000.0,2018
335,M,57.0,41000.0,2018
337,F,54.0,70000.0,2018
339,M,58.0,73000.0,2017
341,M,49.0,39000.0,2017
342,F,73.0,79000.0,2018
343,F,58.0,76000.0,2017
344,M,51.0,70000.0,2017
345,M,74.0,78000.0,2016
346,M,53.0,95000.0,2015
347,M,61.0,32000.0,2018
349,M,41.0,55000.0,2017
350,F,64.0,95000.0,2017
353,M,42.0,75000.0,2017
354,M,50.0,57000.0,2016
355,M,60.0,56000.0,2017
356,F,57.0,83000.0,2016
357,F,39.0,54000.0,2017
359,F,57.0,67000.0,2016
360,M,57.0,71000.0,2017
361,M,68.0,51000.0,2016
362,F,83.0,114000.0,2015
363,F,35.0,72000.0,2018
364,F,90.0,72000.0,2018
365,M,56.0,72000.0,2018
367,M,84.0,81000.0,2017
368,M,62.0,39000.0,2018
369,M,63.0,58000.0,2017
371,M,67.0,56000.0,2016
372,F,68.0,50000.0,2017
373,M,55.0,73000.0,2017
376,F,24.0,59000.0,2017
377,M,40.0,39000.0,2017
378,M,83.0,61000.0,2018
381,F,63.0,41000.0,2017
382,F,59.0,59000.0,2018
383,O,49.0,42000.0,2017
384,F,61.0,99000.0,2016
385,M,42.0,57000.0,2018
386,M,58.0,36000.0,2018
387,F,48.0,44000.0,2016
388,M,35.0,64000.0,2017
389,M,36.0,31000.0,2018
390,F,41.0,100000.0,2016
391,F,83.0,73000.0,2017
392,M,53.0,87000.0,2017
394,F,53.0,97000.0,2016
395,F,80.0,48000.0,2018
396,M,25.0,66000.0,2015
397,M,63.0,119000.0,2015
398,F,63.0,66000.0,2016
399,F,56.0,109000.0,2018
400,M,43.0,59000.0,2017
401,F,58.0,58000.0,2016
402,M,59.0,59000.0,2017
403,M,49.0,104000.0,2018
404,F,63.0,70000.0,2017
405,M,42.0,94000.0,2015
406,F,52.0,57000.0,2018
407,F,57.0,37000.0,2018
408,F,56.0,59000.0,2017
409,M,80.0,87000.0,2017
410,M,43.0,52000.0,2016
411,M,54.0,70000.0,2017
412,M,28.0,73000.0,2016
413,F,57.0,95000.0,2017
414,M,71.0,67000.0,2015
416,F,64.0,112000.0,2018
417,M,20.0,49000.0,2014
420,F,36.0,58000.0,2017
421,F,45.0,99000.0,2016
422,M,71.0,65000.0,2014
423,M,67.0,89000.0,2018
424,F,72.0,81000.0,2016
425,M,51.0,100000.0,2018
427,M,48.0,68000.0,2017
428,M,53.0,60000.0,2018
429,M,25.0,53000.0,2018
430,F,79.0,85000.0,2018
431,M,19.0,32000.0,2018
432,F,28.0,49000.0,2018
433,M,56.0,76000.0,2014
434,M,44.0,37000.0,2014
435,M,25.0,40000.0,2017
436,F,61.0,78000.0,2018
437,M,34.0,59000.0,2017
438,F,41.0,37000.0,2017
439,M,44.0,51000.0,2016
440,F,51.0,92000.0,2018
441,M,47.0,44000.0,2017
442,F,63.0,70000.0,2018
443,M,62.0,61000.0,2017
444,M,66.0,71000.0,2018
445,M,62.0,70000.0,2017
446,M,83.0,88000.0,2016
447,M,43.0,58000.0,2018
448,F,66.0,94000.0,2016
449,M,70.0,44000.0,2017
450,F,65.0,66000.0,2018
451,F,33.0,54000.0,2016
452,M,63.0,78000.0,2018
453,M,77.0,42000.0,2017
454,F,49.0,57000.0,2017
455,M,53.0,104000.0,2017
456,F,61.0,87000.0,2016
457,M,60.0,38000.0,2015
459,F,44.0,60000.0,2017
460,M,69.0,62000.0,2015
461,M,39.0,71000.0,2018
462,F,38.0,55000.0,2015
463,F,83.0,99000.0,2017
464,F,63.0,94000.0,2016
465,F,41.0,41000.0,2015
466,M,54.0,39000.0,2017
468,M,41.0,55000.0,2018
471,F,56.0,69000.0,2017
473,M,50.0,98000.0,2018
474,M,58.0,55000.0,2015
475,M,39.0,61000.0,2017
476,F,60.0,55000.0,2017
477,F,60.0,74000.0,2016
478,M,24.0,38000.0,2018
479,M,48.0,57000.0,2016
480,M,50.0,110000.0,2018
481,F,41.0,67000.0,2017
482,M,45.0,84000.0,2015
483,M,48.0,93000.0,2016
484,M,59.0,87000.0,2018
485,M,43.0,45000.0,2018
486,F,56.0,67000.0,2017
487,M,54.0,93000.0,2016
488,F,48.0,47000.0,2018
492,M,63.0,49000.0,2017
494,M,47.0,35000.0,2017
495,M,52.0,56000.0,2016
496,F,58.0,78000.0,2016
497,M,78.0,39000.0,2015
498,M,43.0,40000.0,2014
499,M,68.0,61000.0,2017
500,M,18.0,48000.0,2015
501,F,39.0,85000.0,2016
502,M,74.0,99000.0,2018
503,F,53.0,98000.0,2017
504,F,61.0,67000.0,2015
505,M,23.0,54000.0,2018
506,M,46.0,55000.0,2017
507,M,51.0,78000.0,2017
508,M,77.0,86000.0,2018
509,F,79.0,91000.0,2017
510,M,41.0,41000.0,2015
511,F,60.0,78000.0,2016
512,F,54.0,47000.0,2017
513,O,63.0,89000.0,2015
514,M,73.0,76000.0,2018
515,M,47.0,77000.0,2018
516,M,84.0,82000.0,2016
518,M,20.0,56000.0,2017
519,F,24.0,35000.0,2015
520,F,58.0,71000.0,2017
521,M,35.0,40000.0,2017
523,M,57.0,33000.0,2017
524,M,87.0,55000.0,2015
525,F,86.0,84000.0,2015
526,F,57.0,100000.0,2018
527,M,61.0,112000.0,2017
528,M,25.0,53000.0,2017
529,M,38.0,31000.0,2015
530,M,94.0,50000.0,2014
531,M,59.0,61000.0,2015
532,F,49.0,73000.0,2017
533,F,61.0,72000.0,2016
535,M,31.0,64000.0,2017
536,F,75.0,53000.0,2017
539,M,51.0,65000.0,2018
540,M,68.0,74000.0,2017
541,M,86.0,71000.0,2018
542,F,62.0,117000.0,2018
543,M,61.0,64000.0,2018
545,F,63.0,57000.0,2018
546,F,26.0,52000.0,2017
547,F,50.0,77000.0,2015
549,F,45.0,93000.0,2017
550,F,88.0,64000.0,2016
551,F,50.0,92000.0,2017
552,F,65.0,119000.0,2017
554,M,55.0,76000.0,2017
555,M,71.0,95000.0,2016
556,F,34.0,46000.0,2015
557,M,81.0,65000.0,2017
559,F,65.0,98000.0,2013
562,F,63.0,62000.0,2018
563,M,73.0,58000.0,2016
564,F,84.0,77000.0,2018
566,F,55.0,62000.0,2018
567,M,63.0,70000.0,2017
568,F,24.0,51000.0,2018
569,M,36.0,74000.0,2013
570,M,56.0,69000.0,2016
571,F,65.0,119000.0,2017
572,M,75.0,75000.0,2018
573,M,71.0,114000.0,2016
574,M,71.0,118000.0,2017
575,M,61.0,39000.0,2017
576,O,73.0,88000.0,2018
577,M,19.0,73000.0,2018
578,F,64.0,34000.0,2017
579,F,66.0,112000.0,2017
580,M,37.0,59000.0,2018
581,M,22.0,49000.0,2016
582,F,54.0,96000.0,2018
583,M,62.0,73000.0,2018
584,F,50.0,75000.0,2018
585,F,80.0,87000.0,2017
586,M,55.0,112000.0,2015
587,M,40.0,50000.0,2017
588,M,43.0,52000.0,2015
589,M,61.0,53000.0,2017
590,F,32.0,43000.0,2017
592,F,68.0,32000.0,2017
593,F,66.0,104000.0,2017
594,M,36.0,35000.0,2017
595,M,38.0,60000.0,2017
596,F,80.0,54000.0,2015
597,F,82.0,68000.0,2018
598,M,45.0,74000.0,2015
599,M,89.0,63000.0,2017
600,F,45.0,94000.0,2017
601,M,59.0,35000.0,2018
602,M,22.0,44000.0,2018
603,F,67.0,50000.0,2017
604,F,30.0,41000.0,2016
606,M,56.0,88000.0,2018
607,F,53.0,100000.0,2016
610,M,32.0,58000.0,2016
611,F,51.0,73000.0,2016
612,F,38.0,66000.0,2017
613,F,52.0,45000.0,2014
615,M,55.0,68000.0,2016
616,M,81.0,41000.0,2017
617,M,55.0,78000.0,2017
618,F,51.0,67000.0,2014
620,F,71.0,74000.0,2015
621,M,45.0,84000.0,2016
624,M,49.0,71000.0,2015
625,M,62.0,48000.0,2017
626,F,65.0,99000.0,2015
628,F,50.0,63000.0,2018
629,F,20.0,60000.0,2018
630,F,49.0,31000.0,2018
631,M,55.0,83000.0,2017
632,M,58.0,54000.0,2014
634,F,95.0,64000.0,2017
635,F,83.0,99000.0,2018
636,F,56.0,70000.0,2016
637,M,66.0,54000.0,2017
638,M,87.0,74000.0,2017
640,M,55.0,89000.0,2016
641,F,52.0,114000.0,2017
642,F,59.0,83000.0,2016
643,F,59.0,51000.0,2016
644,F,49.0,74000.0,2017
645,F,62.0,46000.0,2014
646,F,56.0,80000.0,2015
647,F,51.0,97000.0,2017
648,F,47.0,62000.0,2014
649,M,38.0,96000.0,2016
650,M,43.0,44000.0,2018
651,M,43.0,72000.0,2016
652,M,49.0,84000.0,2015
653,F,36.0,57000.0,2017
654,F,45.0,58000.0,2016
656,M,53.0,95000.0,2018
657,M,43.0,60000.0,2017
659,F,18.0,67000.0,2017
660,M,40.0,41000.0,2016
661,F,83.0,114000.0,2017
662,M,49.0,65000.0,2018
663,F,51.0,106000.0,2017
664,M,25.0,55000.0,2018
665,M,71.0,55000.0,2018
666,M,58.0,71000.0,2017
667,M,53.0,36000.0,2014
668,F,83.0,93000.0,2017
669,M,46.0,56000.0,2016
670,F,69.0,97000.0,2017
671,M,51.0,73000.0,2017
672,M,61.0,68000.0,2018
673,F,81.0,101000.0,2017
674,M,60.0,41000.0,2018
675,M,48.0,75000.0,2015
676,F,48.0,87000.0,2015
677,M,73.0,63000.0,2014
678,F,41.0,89000.0,2018
679,F,39.0,77000.0,2016
680,M,31.0,56000.0,2017
681,M,38.0,61000.0,2017
682,F,46.0,36000.0,2017
683,M,87.0,72000.0,2014
684,F,53.0,83000.0,2015
686,F,93.0,48000.0,2013
687,M,42.0,41000.0,2015
688,M,54.0,79000.0,2015
689,M,47.0,53000.0,2018
690,M,75.0,109000.0,2017
691,F,79.0,61000.0,2018
692,F,36.0,64000.0,2017
693,M,30.0,43000.0,2017
694,M,34.0,50000.0,2013
695,F,39.0,78000.0,2016
696,F,52.0,87000.0,2016
697,M,43.0,34000.0,2016
698,M,75.0,38000.0,2018
699,M,47.0,40000.0,2017
700,F,60.0,117000.0,2018
701,M,31.0,43000.0,2018
702,M,70.0,35000.0,2018
703,F,49.0,36000.0,2018
704,M,48.0,56000.0,2017
705,M,37.0,36000.0,2017
707,F,67.0,67000.0,2015
708,M,48.0,65000.0,2015
709,M,69.0,38000.0,2015
710,M,66.0,32000.0,2017
711,M,38.0,56000.0,2017
712,F,59.0,90000.0,2017
713,M,43.0,65000.0,2018
714,M,43.0,41000.0,2014
715,F,68.0,108000.0,2017
716,M,60.0,45000.0,2018
717,M,53.0,39000.0,2015
718,M,34.0,50000.0,2018
719,M,77.0,64000.0,2018
720,F,88.0,73000.0,2017
722,F,62.0,88000.0,2018
723,M,63.0,86000.0,2014
724,M,70.0,99000.0,2017
725,M,38.0,33000.0,2018
726,F,44.0,39000.0,2018
727,F,40.0,50000.0,2018
728,M,51.0,99000.0,2018
730,F,72.0,60000.0,2013
731,M,22.0,45000.0,2017
733,M,72.0,49000.0,2017
734,M,70.0,37000.0,2017
736,M,23.0,65000.0,2014
737,M,38.0,75000.0,2018
738,F,71.0,67000.0,2015
739,M,50.0,51000.0,2013
740,M,72.0,35000.0,2014
741,M,43.0,31000.0,2018
742,M,63.0,70000.0,2016
743,M,73.0,46000.0,2018
744,M,53.0,57000.0,2015
745,F,37.0,57000.0,2018
747,M,45.0,44000.0,2014
748,M,59.0,61000.0,2018
749,M,74.0,51000.0,2016
750,M,18.0,36000.0,2016
751,F,94.0,84000.0,2016
752,M,38.0,33000.0,2016
753,F,67.0,50000.0,2016
754,F,46.0,36000.0,2015
755,M,82.0,41000.0,2017
756,M,37.0,36000.0,2018
757,F,65.0,71000.0,2018
758,F,66.0,34000.0,2017
759,F,65.0,57000.0,2016
762,F,54.0,52000.0,2016
763,M,63.0,113000.0,2017
765,F,50.0,110000.0,2018
766,M,64.0,81000.0,2017
767,M,66.0,50000.0,2017
768,F,76.0,62000.0,2016
769,F,56.0,82000.0,2017
770,M,49.0,75000.0,2017
771,F,29.0,53000.0,2015
773,F,51.0,56000.0,2016
774,M,69.0,68000.0,2018
775,M,48.0,52000.0,2013
776,M,25.0,68000.0,2015
777,M,82.0,78000.0,2015
778,F,57.0,70000.0,2016
779,M,50.0,70000.0,2017
781,F,74.0,72000.0,2018
784,F,49.0,59000.0,2018
786,M,80.0,88000.0,2017
788,F,62.0,81000.0,2016
789,M,63.0,50000.0,2018
790,F,54.0,109000.0,2016
792,M,45.0,55000.0,2018
793,F,49.0,110000.0,2017
794,M,61.0,35000.0,2017
795,M,46.0,46000.0,2017
796,M,64.0,59000.0,2014
798,F,69.0,89000.0,2015
799,M,69.0,64000.0,2015
800,M,66.0,70000.0,2017
801,M,60.0,56000.0,2014
802,F,40.0,51000.0,2017
803,M,74.0,64000.0,2015
804,F,52.0,31000.0,2015
806,F,62.0,55000.0,2015
807,F,61.0,118000.0,2015
808,F,22.0,55000.0,2017
809,M,62.0,35000.0,2017
810,M,23.0,63000.0,2017
811,F,90.0,104000.0,2016
812,F,72.0,41000.0,2015
813,F,69.0,93000.0,2016
814,F,71.0,43000.0,2017
815,M,32.0,38000.0,2018
816,M,36.0,51000.0,2018
817,F,58.0,38000.0,2018
818,M,75.0,103000.0,2015
819,F,58.0,41000.0,2017
820,M,76.0,69000.0,2017
822,F,49.0,73000.0,2013
823,F,57.0,90000.0,2016
824,M,66.0,74000.0,2018
825,M,33.0,54000.0,2018
826,M,54.0,39000.0,2018
827,F,48.0,82000.0,2016
828,F,66.0,62000.0,2017
829,F,46.0,73000.0,2015
830,F,51.0,91000.0,2017
831,F,67.0,58000.0,2015
832,F,28.0,65000.0,2018
833,F,20.0,55000.0,2017
834,M,74.0,34000.0,2017
836,M,67.0,73000.0,2013
839,M,86.0,55000.0,2017
840,M,58.0,83000.0,2017
843,M,67.0,41000.0,2017
844,F,58.0,92000.0,2017
845,F,54.0,82000.0,2017
846,F,56.0,55000.0,2016
848,M,58.0,41000.0,2018
849,F,56.0,91000.0,2018
850,M,63.0,61000.0,2018
851,O,48.0,80000.0,2016
852,M,50.0,59000.0,2018
854,M,63.0,96000.0,2017
856,F,79.0,94000.0,2013
857,M,47.0,92000.0,2018
858,M,57.0,110000.0,2017
859,F,63.0,74000.0,2016
860,M,79.0,64000.0,2018
861,M,54.0,92000.0,2015
862,M,53.0,33000.0,2017
863,M,53.0,96000.0,2017
864,F,70.0,58000.0,2015
865,F,47.0,77000.0,2016
866,M,42.0,60000.0,2016
868,M,61.0,100000.0,2015
869,M,30.0,35000.0,2018
870,M,59.0,108000.0,2017
871,M,38.0,38000.0,2018
872,F,72.0,35000.0,2017
873,M,69.0,36000.0,2015
874,M,31.0,55000.0,2016
875,F,58.0,37000.0,2018
876,F,74.0,61000.0,2018
877,M,66.0,72000.0,2016
878,F,65.0,88000.0,2017
879,F,56.0,83000.0,2016
880,M,63.0,51000.0,2018
881,F,38.0,69000.0,2018
882,F,70.0,78000.0,2017
883,F,64.0,70000.0,2014
884,F,43.0,47000.0,2018
885,M,47.0,69000.0,2016
886,M,49.0,91000.0,2015
887,F,64.0,59000.0,2014
888,F,50.0,67000.0,2015
889,O,32.0,54000.0,2016
890,F,56.0,106000.0,2017
891,M,53.0,69000.0,2016
892,M,33.0,68000.0,2017
894,M,25.0,56000.0,2015
895,O,59.0,73000.0,2017
896,F,58.0,77000.0,2017
897,F,73.0,67000.0,2015
898,M,45.0,52000.0,2017
901,F,22.0,50000.0,2017
902,F,50.0,110000.0,2017
903,M,57.0,33000.0,2017
905,M,56.0,56000.0,2015
906,F,68.0,115000.0,2017
908,M,36.0,67000.0,2018
909,M,66.0,50000.0,2015
910,F,68.0,117000.0,2018
911,F,84.0,68000.0,2018
912,F,74.0,52000.0,2018
913,F,49.0,70000.0,2017
915,F,30.0,69000.0,2015
916,F,74.0,97000.0,2017
917,F,55.0,57000.0,2018
918,M,19.0,65000.0,2017
919,M,69.0,70000.0,2017
920,F,69.0,34000.0,2018
921,M,54.0,39000.0,2016
922,M,25.0,60000.0,2014
924,F,49.0,112000.0,2015
925,M,55.0,41000.0,2017
926,M,69.0,72000.0,2014
928,M,60.0,68000.0,2017
929,M,40.0,91000.0,2016
930,F,64.0,59000.0,2017
932,M,65.0,50000.0,2016
933,F,91.0,37000.0,2017
934,M,71.0,87000.0,2017
936,M,57.0,38000.0,2016
937,M,51.0,93000.0,2015
938,M,82.0,89000.0,2017
939,M,60.0,68000.0,2016
940,M,68.0,71000.0,2017
941,M,42.0,63000.0,2017
942,F,65.0,77000.0,2017
943,F,42.0,53000.0,2017
944,M,45.0,63000.0,2018
945,M,64.0,38000.0,2017
946,F,53.0,32000.0,2017
948,F,47.0,53000.0,2017
949,M,92.0,113000.0,2018
950,F,42.0,48000.0,2016
951,M,45.0,68000.0,2017
952,F,60.0,47000.0,2018
953,M,32.0,34000.0,2015
954,M,63.0,73000.0,2017
955,F,89.0,81000.0,2017
956,F,54.0,91000.0,2017
957,F,53.0,95000.0,2018
958,M,60.0,42000.0,2017
959,M,21.0,74000.0,2016
960,M,63.0,58000.0,2017
961,F,90.0,75000.0,2018
962,M,47.0,82000.0,2016
963,M,25.0,46000.0,2014
965,M,41.0,61000.0,2017
967,M,22.0,31000.0,2016
969,F,57.0,51000.0,2016
971,F,37.0,100000.0,2015
972,F,65.0,79000.0,2014
973,M,45.0,32000.0,2018
974,M,42.0,53000.0,2018
975,M,19.0,69000.0,2017
976,M,33.0,51000.0,2017
977,F,96.0,72000.0,2017
978,M,46.0,42000.0,2018
979,O,74.0,61000.0,2015
980,F,62.0,103000.0,2015
981,O,55.0,76000.0,2017
982,F,50.0,92000.0,2016
983,M,59.0,64000.0,2016
984,M,73.0,106000.0,2017
985,F,57.0,89000.0,2016
986,M,86.0,92000.0,2016
988,F,74.0,72000.0,2017
989,F,88.0,71000.0,2017
990,M,63.0,44000.0,2014
991,F,49.0,44000.0,2016
993,F,49.0,115000.0,2018
995,M,63.0,64000.0,2017
996,M,25.0,73000.0,2015
997,F,22.0,36000.0,2018
998,F,55.0,58000.0,2016
999,M,67.0,44000.0,2017
1000,F,52.0,71000.0,2018
1001,M,50.0,89000.0,2018
1004,F,42.0,56000.0,2016
1005,M,53.0,78000.0,2015
1006,F,70.0,101000.0,2016
1007,F,57.0,111000.0,2015
1008,M,41.0,49000.0,2016
1009,F,62.0,67000.0,2016
1010,M,63.0,90000.0,2018
1011,M,53.0,40000.0,2017
1012,M,60.0,57000.0,2018
1013,F,90.0,71000.0,2018
1014,M,52.0,50000.0,2015
1015,M,28.0,35000.0,2017
1016,F,68.0,76000.0,2018
1017,F,43.0,63000.0,2017
1018,F,20.0,47000.0,2014
